Farm	UniqueID	DOB	Group	Visit	Date	LastTreatmentDays	LastTreatmentCat	EPG	Serum	Copro	dEPG	dSerum	dCopro
C1	C1_3508	2011-01-21	Multiparous	B	2015-08-06	NA	LongerOrNever	0	1.7	0.54	FALSE	FALSE	FALSE
C1	C1_3508	2011-01-21	Multiparous	D	2016-02-05	NA	LongerOrNever	0	113.2	1.07	FALSE	TRUE	FALSE
C1	C1_3508	2011-01-21	Multiparous	E	2016-04-11	NA	LongerOrNever	0	7.2	0.69	FALSE	FALSE	FALSE
C1	C1_3508	2011-01-21	Multiparous	C	2015-11-17	NA	LongerOrNever	0	0.5	0.03	FALSE	FALSE	FALSE
C1	C1_3508	2011-01-21	Multiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.01	FALSE	NA	FALSE
C1	C1_3540	2011-03-04	Multiparous	A	2015-05-04	NA	LongerOrNever	0	NA	13.15	FALSE	NA	TRUE
C1	C1_3540	2011-03-04	Multiparous	D	2016-02-05	NA	LongerOrNever	0	48.3	0.87	FALSE	TRUE	FALSE
C1	C1_3540	2011-03-04	Multiparous	C	2015-11-17	NA	LongerOrNever	0	59	0.33	FALSE	TRUE	FALSE
C1	C1_3540	2011-03-04	Multiparous	B	2015-08-06	NA	LongerOrNever	0	86.8	-1.61	FALSE	TRUE	FALSE
C1	C1_3582	2011-06-07	Multiparous	G	2017-01-19	NA	LongerOrNever	NA	69.1	5.29	NA	TRUE	TRUE
C1	C1_3582	2011-06-07	Multiparous	E	2016-04-11	NA	LongerOrNever	0.2	145	5.64	TRUE	TRUE	TRUE
C1	C1_3582	2011-06-07	Multiparous	F	2016-08-22	NA	LongerOrNever	0	70	2.84	FALSE	TRUE	TRUE
C1	C1_3632	2011-09-28	Multiparous	D	2016-02-05	NA	LongerOrNever	0	106.7	1.64	FALSE	TRUE	TRUE
C1	C1_3632	2011-09-28	Multiparous	C	2015-11-17	NA	LongerOrNever	1	101.8	4.15	TRUE	TRUE	TRUE
C1	C1_3632	2011-09-28	Multiparous	G	2017-01-19	NA	LongerOrNever	NA	181.7	52.33	NA	TRUE	TRUE
C1	C1_3632	2011-09-28	Multiparous	F	2016-08-22	NA	LongerOrNever	0	158.5	1.95	FALSE	TRUE	TRUE
C1	C1_3632	2011-09-28	Multiparous	E	2016-04-11	NA	LongerOrNever	0.2	159.7	15.42	TRUE	TRUE	TRUE
C1	C1_3632	2011-09-28	Multiparous	B	2015-08-06	NA	LongerOrNever	0.2	159.7	39.2	TRUE	TRUE	TRUE
C1	C1_3632	2011-09-28	Multiparous	A	2015-05-04	NA	LongerOrNever	0	NA	64.95	FALSE	NA	TRUE
C1	C1_3667	2011-11-30	Multiparous	A	2015-05-04	NA	LongerOrNever	0.4	NA	69.18	TRUE	NA	TRUE
C1	C1_3667	2011-11-30	Multiparous	E	2016-04-11	NA	LongerOrNever	0.4	102	23.23	TRUE	TRUE	TRUE
C1	C1_3667	2011-11-30	Multiparous	F	2016-08-22	NA	LongerOrNever	0	144.5	7.54	FALSE	TRUE	TRUE
C1	C1_3667	2011-11-30	Multiparous	C	2015-11-17	NA	LongerOrNever	0	143.9	14.74	FALSE	TRUE	TRUE
C1	C1_3667	2011-11-30	Multiparous	D	2016-02-05	NA	LongerOrNever	0.4	62.1	16.82	TRUE	TRUE	TRUE
C1	C1_3667	2011-11-30	Multiparous	B	2015-08-06	NA	LongerOrNever	0.4	136.6	24.31	TRUE	TRUE	TRUE
C1	C1_3667	2011-11-30	Multiparous	G	2017-01-19	NA	LongerOrNever	NA	54.3	46.06	NA	TRUE	TRUE
C1	C1_3677	2011-12-20	Multiparous	B	2015-08-06	NA	LongerOrNever	0	3.2	0.2	FALSE	FALSE	FALSE
C1	C1_3677	2011-12-20	Multiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.12	FALSE	NA	FALSE
C1	C1_3677	2011-12-20	Multiparous	E	2016-04-11	NA	LongerOrNever	0	3.2	0.71	FALSE	FALSE	FALSE
C1	C1_3677	2011-12-20	Multiparous	D	2016-02-05	NA	LongerOrNever	0	1.9	1.45	FALSE	FALSE	TRUE
C1	C1_3677	2011-12-20	Multiparous	F	2016-08-22	NA	LongerOrNever	0	3.1	1.24	FALSE	FALSE	FALSE
C1	C1_3677	2011-12-20	Multiparous	C	2015-11-17	NA	LongerOrNever	0	5.7	0.15	FALSE	FALSE	FALSE
C1	C1_3683	2011-12-29	Multiparous	B	2015-08-06	NA	LongerOrNever	0	139.6	0.83	FALSE	TRUE	FALSE
C1	C1_3683	2011-12-29	Multiparous	C	2015-11-17	NA	LongerOrNever	0	53.8	0.27	FALSE	TRUE	FALSE
C1	C1_3683	2011-12-29	Multiparous	E	2016-04-11	NA	LongerOrNever	0	64.8	0.75	FALSE	TRUE	FALSE
C1	C1_3683	2011-12-29	Multiparous	F	2016-08-22	NA	LongerOrNever	0	52.2	1.54	FALSE	TRUE	TRUE
C1	C1_3683	2011-12-29	Multiparous	A	2015-05-04	NA	LongerOrNever	0	NA	3.25	FALSE	NA	TRUE
C1	C1_3683	2011-12-29	Multiparous	G	2017-01-19	NA	LongerOrNever	NA	51.3	1.08	NA	TRUE	FALSE
C1	C1_3683	2011-12-29	Multiparous	D	2016-02-05	NA	LongerOrNever	0	60.8	1.54	FALSE	TRUE	TRUE
C1	C1_3699	2012-02-06	Multiparous	G	2017-01-19	NA	LongerOrNever	NA	187.9	6.01	NA	TRUE	TRUE
C1	C1_3699	2012-02-06	Multiparous	F	2016-08-22	NA	LongerOrNever	0	195.1	2.91	FALSE	TRUE	TRUE
C1	C1_3711	2012-02-25	Multiparous	C	2015-11-17	NA	LongerOrNever	0.2	150.5	11.76	TRUE	TRUE	TRUE
C1	C1_3711	2012-02-25	Multiparous	B	2015-08-06	NA	LongerOrNever	0	157.4	24.17	FALSE	TRUE	TRUE
C1	C1_3711	2012-02-25	Multiparous	E	2016-04-11	NA	LongerOrNever	0	100.4	0.64	FALSE	TRUE	FALSE
C1	C1_3711	2012-02-25	Multiparous	D	2016-02-05	NA	LongerOrNever	0	177.3	3.71	FALSE	TRUE	TRUE
C1	C1_3711	2012-02-25	Multiparous	A	2015-05-04	NA	LongerOrNever	0.2	NA	77.14	TRUE	NA	TRUE
C1	C1_3736	2012-05-11	Primiparous	D	2016-02-05	NA	LongerOrNever	0	4.8	0.92	FALSE	FALSE	FALSE
C1	C1_3736	2012-05-11	Primiparous	B	2015-08-06	NA	LongerOrNever	0	0.8	0.69	FALSE	FALSE	FALSE
C1	C1_3736	2012-05-11	Primiparous	G	2017-01-19	NA	LongerOrNever	NA	5	0.62	NA	FALSE	FALSE
C1	C1_3736	2012-05-11	Primiparous	F	2016-08-22	NA	LongerOrNever	0	4.6	1.11	FALSE	FALSE	FALSE
C1	C1_3736	2012-05-11	Primiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.51	FALSE	NA	FALSE
C1	C1_3736	2012-05-11	Primiparous	C	2015-11-17	NA	LongerOrNever	0	5	0.23	FALSE	FALSE	FALSE
C1	C1_3736	2012-05-11	Primiparous	E	2016-04-11	NA	LongerOrNever	0	-0.6	0.84	FALSE	FALSE	FALSE
C1	C1_3779	2012-08-18	Primiparous	E	2016-04-11	NA	LongerOrNever	0	0.8	0.75	FALSE	FALSE	FALSE
C1	C1_3779	2012-08-18	Primiparous	C	2015-11-17	NA	LongerOrNever	0	0.2	0.29	FALSE	FALSE	FALSE
C1	C1_3779	2012-08-18	Primiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.08	FALSE	NA	FALSE
C1	C1_3779	2012-08-18	Primiparous	B	2015-08-06	NA	LongerOrNever	0	9.5	0.34	FALSE	FALSE	FALSE
C1	C1_3779	2012-08-18	Primiparous	F	2016-08-22	NA	LongerOrNever	0	3.5	0.9	FALSE	FALSE	FALSE
C1	C1_3779	2012-08-18	Primiparous	D	2016-02-05	NA	LongerOrNever	0	5.2	1.01	FALSE	FALSE	FALSE
C1	C1_3781	2012-08-21	Primiparous	D	2016-02-05	NA	LongerOrNever	0	4.1	0.96	FALSE	FALSE	FALSE
C1	C1_3781	2012-08-21	Primiparous	C	2015-11-17	NA	LongerOrNever	0	5.8	0.2	FALSE	FALSE	FALSE
C1	C1_3781	2012-08-21	Primiparous	F	2016-08-22	NA	LongerOrNever	0	7.2	0.78	FALSE	FALSE	FALSE
C1	C1_3781	2012-08-21	Primiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.25	FALSE	NA	FALSE
C1	C1_3781	2012-08-21	Primiparous	B	2015-08-06	NA	LongerOrNever	0	-0.4	0.33	FALSE	FALSE	FALSE
C1	C1_3781	2012-08-21	Primiparous	E	2016-04-11	NA	LongerOrNever	0	2.5	0.46	FALSE	FALSE	FALSE
C1	C1_3781	2012-08-21	Primiparous	G	2017-01-19	NA	LongerOrNever	NA	4	0.67	NA	FALSE	FALSE
C1	C1_3783	2012-08-24	Primiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.12	FALSE	NA	FALSE
C1	C1_3783	2012-08-24	Primiparous	B	2015-08-06	NA	LongerOrNever	0	2.7	0.58	FALSE	FALSE	FALSE
C1	C1_3795	2012-09-21	Primiparous	C	2015-11-17	NA	LongerOrNever	0	-4.2	0.36	FALSE	FALSE	FALSE
C1	C1_3795	2012-09-21	Primiparous	B	2015-08-06	NA	LongerOrNever	0	8.1	0.58	FALSE	FALSE	FALSE
C1	C1_3795	2012-09-21	Primiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.2	FALSE	NA	FALSE
C1	C1_3797	2012-09-21	Primiparous	D	2016-02-05	NA	LongerOrNever	0	6	0.93	FALSE	FALSE	FALSE
C1	C1_3797	2012-09-21	Primiparous	F	2016-08-22	NA	LongerOrNever	0	14.8	1.26	FALSE	FALSE	FALSE
C1	C1_3797	2012-09-21	Primiparous	E	2016-04-11	NA	LongerOrNever	0	3.4	0.79	FALSE	FALSE	FALSE
C1	C1_3797	2012-09-21	Primiparous	C	2015-11-17	NA	LongerOrNever	0	7	0.11	FALSE	FALSE	FALSE
C1	C1_3797	2012-09-21	Primiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.12	FALSE	NA	FALSE
C1	C1_3797	2012-09-21	Primiparous	B	2015-08-06	NA	LongerOrNever	0	-2.9	0.55	FALSE	FALSE	FALSE
C1	C1_3812	2012-10-30	Primiparous	F	2016-08-22	NA	LongerOrNever	0	0.4	1.03	FALSE	FALSE	FALSE
C1	C1_3812	2012-10-30	Primiparous	D	2016-02-05	NA	LongerOrNever	0	1.4	0.98	FALSE	FALSE	FALSE
C1	C1_3812	2012-10-30	Primiparous	G	2017-01-19	NA	LongerOrNever	NA	56.5	5.2	NA	TRUE	TRUE
C1	C1_3812	2012-10-30	Primiparous	E	2016-04-11	NA	LongerOrNever	0	-0.3	0.6	FALSE	FALSE	FALSE
C1	C1_3815	2012-11-02	Primiparous	E	2016-04-11	NA	LongerOrNever	0	3.5	0.85	FALSE	FALSE	FALSE
C1	C1_3815	2012-11-02	Primiparous	C	2015-11-17	NA	LongerOrNever	0	4.2	0.38	FALSE	FALSE	FALSE
C1	C1_3815	2012-11-02	Primiparous	B	2015-08-06	NA	LongerOrNever	0	1.8	0.75	FALSE	FALSE	FALSE
C1	C1_3815	2012-11-02	Primiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.29	FALSE	NA	FALSE
C1	C1_3815	2012-11-02	Primiparous	D	2016-02-05	NA	LongerOrNever	0	171.1	1.34	FALSE	TRUE	FALSE
C1	C1_3817	2012-11-05	Primiparous	F	2016-08-22	NA	LongerOrNever	0	7.3	1.29	FALSE	FALSE	FALSE
C1	C1_3817	2012-11-05	Primiparous	G	2017-01-19	NA	LongerOrNever	NA	4.1	0.49	NA	FALSE	FALSE
C1	C1_3817	2012-11-05	Primiparous	C	2015-11-17	NA	LongerOrNever	0	3.2	0.25	FALSE	FALSE	FALSE
C1	C1_3817	2012-11-05	Primiparous	D	2016-02-05	NA	LongerOrNever	0	3.2	0.81	FALSE	FALSE	FALSE
C1	C1_3817	2012-11-05	Primiparous	B	2015-08-06	NA	LongerOrNever	0	-1.6	0.57	FALSE	FALSE	FALSE
C1	C1_3817	2012-11-05	Primiparous	E	2016-04-11	NA	LongerOrNever	0	4.8	0.83	FALSE	FALSE	FALSE
C1	C1_3817	2012-11-05	Primiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.23	FALSE	NA	FALSE
C1	C1_3822	2012-11-13	Primiparous	C	2015-11-17	NA	LongerOrNever	0	-11	0.15	FALSE	FALSE	FALSE
C1	C1_3822	2012-11-13	Primiparous	D	2016-02-05	NA	LongerOrNever	0	7.6	0.69	FALSE	FALSE	FALSE
C1	C1_3822	2012-11-13	Primiparous	G	2017-01-19	NA	LongerOrNever	NA	4.2	0.74	NA	FALSE	FALSE
C1	C1_3822	2012-11-13	Primiparous	E	2016-04-11	NA	LongerOrNever	0	3.5	0.44	FALSE	FALSE	FALSE
C1	C1_3822	2012-11-13	Primiparous	F	2016-08-22	NA	LongerOrNever	0	5.2	0.73	FALSE	FALSE	FALSE
C1	C1_3823	2012-11-13	Primiparous	D	2016-02-05	NA	LongerOrNever	0	0.6	0.53	FALSE	FALSE	FALSE
C1	C1_3823	2012-11-13	Primiparous	E	2016-04-11	NA	LongerOrNever	0	7.4	0.75	FALSE	FALSE	FALSE
C1	C1_3823	2012-11-13	Primiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.08	FALSE	NA	FALSE
C1	C1_3823	2012-11-13	Primiparous	C	2015-11-17	NA	LongerOrNever	0	-17.8	0.16	FALSE	FALSE	FALSE
C1	C1_3823	2012-11-13	Primiparous	G	2017-01-19	NA	LongerOrNever	NA	-1.3	0.63	NA	FALSE	FALSE
C1	C1_3823	2012-11-13	Primiparous	B	2015-08-06	NA	LongerOrNever	0	4.5	-0.9	FALSE	FALSE	FALSE
C1	C1_3823	2012-11-13	Primiparous	F	2016-08-22	NA	LongerOrNever	0	0.9	0.62	FALSE	FALSE	FALSE
C1	C1_3833	2012-12-01	Primiparous	G	2017-01-19	NA	LongerOrNever	NA	4.5	0.89	NA	FALSE	FALSE
C1	C1_3833	2012-12-01	Primiparous	F	2016-08-22	NA	LongerOrNever	0	4.1	1.05	FALSE	FALSE	FALSE
C1	C1_3837	2012-12-12	Primiparous	F	2016-08-22	NA	LongerOrNever	0	6.7	1.35	FALSE	FALSE	FALSE
C1	C1_3837	2012-12-12	Primiparous	D	2016-02-05	NA	LongerOrNever	0	5.8	1	FALSE	FALSE	FALSE
C1	C1_3837	2012-12-12	Primiparous	C	2015-11-17	NA	LongerOrNever	0	3.4	0.59	FALSE	FALSE	FALSE
C1	C1_3837	2012-12-12	Primiparous	B	2015-08-06	NA	LongerOrNever	0	6.1	0.44	FALSE	FALSE	FALSE
C1	C1_3837	2012-12-12	Primiparous	G	2017-01-19	NA	LongerOrNever	NA	4.2	1.11	NA	FALSE	FALSE
C1	C1_3837	2012-12-12	Primiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.19	FALSE	NA	FALSE
C1	C1_3837	2012-12-12	Primiparous	E	2016-04-11	NA	LongerOrNever	0	0.3	1.07	FALSE	FALSE	FALSE
C1	C1_3890	2013-03-19	Primiparous	D	2016-02-05	NA	LongerOrNever	0	3.1	1.2	FALSE	FALSE	FALSE
C1	C1_3890	2013-03-19	Primiparous	B	2015-08-06	NA	LongerOrNever	0	1.3	0.61	FALSE	FALSE	FALSE
C1	C1_3890	2013-03-19	Primiparous	C	2015-11-17	NA	LongerOrNever	0	1.8	0.34	FALSE	FALSE	FALSE
C1	C1_3890	2013-03-19	Primiparous	F	2016-08-22	NA	LongerOrNever	0	37.5	1.13	FALSE	TRUE	FALSE
C1	C1_3890	2013-03-19	Primiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.05	FALSE	NA	FALSE
C1	C1_3890	2013-03-19	Primiparous	E	2016-04-11	NA	LongerOrNever	0	1.4	1.36	FALSE	FALSE	FALSE
C1	C1_3890	2013-03-19	Primiparous	G	2017-01-19	NA	LongerOrNever	NA	11.1	1.11	NA	FALSE	FALSE
C1	C1_4011	2013-11-14	Heifer	B	2015-08-06	NA	LongerOrNever	0	0.2	0.24	FALSE	FALSE	FALSE
C1	C1_4011	2013-11-14	Heifer	F	2016-08-22	NA	LongerOrNever	1.4	192.6	25.37	TRUE	TRUE	TRUE
C1	C1_4011	2013-11-14	Heifer	C	2015-11-17	NA	LongerOrNever	0	174.1	0.56	FALSE	TRUE	FALSE
C1	C1_4011	2013-11-14	Heifer	G	2017-01-19	NA	LongerOrNever	NA	187.8	53.24	NA	TRUE	TRUE
C1	C1_4011	2013-11-14	Heifer	E	2016-04-11	NA	LongerOrNever	0	191.9	107.69	FALSE	TRUE	TRUE
C1	C1_4011	2013-11-14	Heifer	A	2015-05-04	NA	LongerOrNever	0	-1.5	0.17	FALSE	FALSE	FALSE
C1	C1_4011	2013-11-14	Heifer	D	2016-02-05	NA	LongerOrNever	0	168.4	71.04	FALSE	TRUE	TRUE
C1	C1_4013	2015-12-10	Heifer	A	2015-05-04	NA	LongerOrNever	0	1.3	0.16	FALSE	FALSE	FALSE
C1	C1_4013	2015-12-10	Heifer	D	2016-02-05	NA	LongerOrNever	0.2	170.1	5.79	TRUE	TRUE	TRUE
C1	C1_4013	2015-12-10	Heifer	G	2017-01-19	NA	LongerOrNever	NA	73.1	1.37	NA	TRUE	FALSE
C1	C1_4013	2015-12-10	Heifer	E	2016-04-11	NA	LongerOrNever	0.4	196.3	37.23	TRUE	TRUE	TRUE
C1	C1_4013	2015-12-10	Heifer	F	2016-08-22	NA	LongerOrNever	0.4	188.9	5.91	TRUE	TRUE	TRUE
C1	C1_4013	2015-12-10	Heifer	B	2015-08-06	NA	LongerOrNever	0	-1.5	-0.45	FALSE	FALSE	FALSE
C1	C1_4013	2015-12-10	Heifer	C	2015-11-17	NA	LongerOrNever	0	172.4	0.32	FALSE	TRUE	FALSE
C1	C1_4035	2013-12-28	Heifer	G	2017-01-19	NA	LongerOrNever	NA	183.1	55.17	NA	TRUE	TRUE
C1	C1_4035	2013-12-28	Heifer	C	2015-11-17	NA	LongerOrNever	0	202	2.17	FALSE	TRUE	TRUE
C1	C1_4035	2013-12-28	Heifer	F	2016-08-22	NA	LongerOrNever	1	216.6	10.04	TRUE	TRUE	TRUE
C1	C1_4035	2013-12-28	Heifer	A	2015-05-04	NA	LongerOrNever	0	8	0.17	FALSE	FALSE	FALSE
C1	C1_4035	2013-12-28	Heifer	E	2016-04-11	NA	LongerOrNever	2	213.6	69.71	TRUE	TRUE	TRUE
C1	C1_4035	2013-12-28	Heifer	D	2016-02-05	NA	LongerOrNever	2	118.6	17.96	TRUE	TRUE	TRUE
C1	C1_4035	2013-12-28	Heifer	B	2015-08-06	NA	LongerOrNever	0	-7.6	0.39	FALSE	FALSE	FALSE
C1	C1_4037	2013-12-31	Heifer	G	2017-01-19	NA	LongerOrNever	NA	154.6	61.27	NA	TRUE	TRUE
C1	C1_4037	2013-12-31	Heifer	B	2015-08-06	NA	LongerOrNever	0	4.8	0.11	FALSE	FALSE	FALSE
C1	C1_4037	2013-12-31	Heifer	F	2016-08-22	NA	LongerOrNever	0.4	207.9	5.67	TRUE	TRUE	TRUE
C1	C1_4037	2013-12-31	Heifer	D	2016-02-05	NA	LongerOrNever	0.2	195.9	2.66	TRUE	TRUE	TRUE
C1	C1_4037	2013-12-31	Heifer	C	2015-11-17	NA	LongerOrNever	0	173.2	0.33	FALSE	TRUE	FALSE
C1	C1_4037	2013-12-31	Heifer	A	2015-05-04	NA	LongerOrNever	0.2	1.1	0.19	TRUE	FALSE	FALSE
C1	C1_4037	2013-12-31	Heifer	E	2016-04-11	NA	LongerOrNever	0.4	205	7.03	TRUE	TRUE	TRUE
C1	C1_4042	2014-01-11	Heifer	D	2016-02-05	NA	LongerOrNever	1.6	189.8	9.91	TRUE	TRUE	TRUE
C1	C1_4042	2014-01-11	Heifer	F	2016-08-22	NA	LongerOrNever	1.2	195.7	9.61	TRUE	TRUE	TRUE
C1	C1_4042	2014-01-11	Heifer	G	2017-01-19	NA	LongerOrNever	NA	179.1	69.21	NA	TRUE	TRUE
C1	C1_4042	2014-01-11	Heifer	A	2015-05-04	NA	LongerOrNever	0	6.5	0.19	FALSE	FALSE	FALSE
C1	C1_4042	2014-01-11	Heifer	C	2015-11-17	NA	LongerOrNever	0	172.6	0.45	FALSE	TRUE	FALSE
C1	C1_4042	2014-01-11	Heifer	B	2015-08-06	NA	LongerOrNever	0	6.7	0.24	FALSE	FALSE	FALSE
C1	C1_4042	2014-01-11	Heifer	E	2016-04-11	NA	LongerOrNever	0.4	155.6	31.39	TRUE	TRUE	TRUE
C1	C1_4043	2014-01-11	Heifer	A	2015-05-04	NA	LongerOrNever	0	1.4	0.1	FALSE	FALSE	FALSE
C1	C1_4043	2014-01-11	Heifer	D	2016-02-05	NA	LongerOrNever	0	181.6	8.08	FALSE	TRUE	TRUE
C1	C1_4043	2014-01-11	Heifer	G	2017-01-19	NA	LongerOrNever	NA	140.8	23.28	NA	TRUE	TRUE
C1	C1_4043	2014-01-11	Heifer	F	2016-08-22	NA	LongerOrNever	0	125.6	1.39	FALSE	TRUE	FALSE
C1	C1_4043	2014-01-11	Heifer	B	2015-08-06	NA	LongerOrNever	0	-1.5	0.2	FALSE	FALSE	FALSE
C1	C1_4043	2014-01-11	Heifer	E	2016-04-11	NA	LongerOrNever	0	156.5	12.03	FALSE	TRUE	TRUE
C1	C1_4043	2014-01-11	Heifer	C	2015-11-17	NA	LongerOrNever	0	134.7	0.12	FALSE	TRUE	FALSE
C1	C1_4050	2014-01-18	Heifer	F	2016-08-22	NA	LongerOrNever	0.2	179.2	6.24	TRUE	TRUE	TRUE
C1	C1_4050	2014-01-18	Heifer	D	2016-02-05	NA	LongerOrNever	0	161	5.31	FALSE	TRUE	TRUE
C1	C1_4050	2014-01-18	Heifer	A	2015-05-04	NA	LongerOrNever	0	-0.3	0.05	FALSE	FALSE	FALSE
C1	C1_4050	2014-01-18	Heifer	C	2015-11-17	NA	LongerOrNever	0.2	196.8	0.31	TRUE	TRUE	FALSE
C1	C1_4050	2014-01-18	Heifer	B	2015-08-06	NA	LongerOrNever	0	5.4	0.61	FALSE	FALSE	FALSE
C1	C1_4050	2014-01-18	Heifer	G	2017-01-19	NA	LongerOrNever	NA	157.2	1.57	NA	TRUE	TRUE
C1	C1_4050	2014-01-18	Heifer	E	2016-04-11	NA	LongerOrNever	0	126.3	5.39	FALSE	TRUE	TRUE
C1	C1_4061	2014-02-02	Heifer	A	2015-05-04	NA	LongerOrNever	0	1	0.26	FALSE	FALSE	FALSE
C1	C1_4061	2014-02-02	Heifer	D	2016-02-05	NA	LongerOrNever	0	66.3	29.59	FALSE	TRUE	TRUE
C1	C1_4061	2014-02-02	Heifer	C	2015-11-17	NA	LongerOrNever	0	154.2	0.96	FALSE	TRUE	FALSE
C1	C1_4061	2014-02-02	Heifer	E	2016-04-11	NA	LongerOrNever	0.6	115.3	32.19	TRUE	TRUE	TRUE
C1	C1_4061	2014-02-02	Heifer	F	2016-08-22	NA	LongerOrNever	0.6	167.8	3.96	TRUE	TRUE	TRUE
C1	C1_4061	2014-02-02	Heifer	B	2015-08-06	NA	LongerOrNever	0	0	0.66	FALSE	FALSE	FALSE
C1	C1_4064	2014-02-05	Heifer	D	2016-02-05	NA	LongerOrNever	0	17.2	0.96	FALSE	FALSE	FALSE
C1	C1_4064	2014-02-05	Heifer	F	2016-08-22	NA	LongerOrNever	0	9.6	1.25	FALSE	FALSE	FALSE
C1	C1_4064	2014-02-05	Heifer	G	2017-01-19	NA	LongerOrNever	NA	3.9	0.87	NA	FALSE	FALSE
